slug,positions,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
achiupr01,CENTER,14.3,0.523,0.2673333333333333,0.257,10.1,22.73333333333333,16.1,9.233333333333333,1.4,2.433333333333333,12.0,19.7,0.4000000000000001,1.3,1.7,0.0703333333333333,-1.6,-0.5333333333333333,-2.1666666666666665,-0.1,539,1177,98,311,189,297,296,641,176,84,83,172,293,1365
achiupr01,POWER FORWARD,14.35,0.5569999999999999,0.0855,0.358,12.4,20.25,16.35,6.15,1.3,4.2,13.8,16.75,0.75,1.4,2.15,0.1035,-2.75,0.0,-2.75,-0.1,281,527,13,51,101,180,214,345,82,50,84,97,194,676
adebaba01,CENTER,19.666666666666668,0.5991666666666666,0.0203333333333333,0.4403333333333334,8.45,24.200000000000003,16.3,17.400000000000002,1.7166666666666668,2.733333333333333,14.133333333333333,21.75,3.5666666666666664,3.35,6.933333333333334,0.1641666666666666,0.7833333333333332,1.5833333333333333,2.333333333333333,2.3000000000000003,2448,4486,21,90,1450,1888,905,2635,1339,427,343,853,1024,6367
agbajoc01,SHOOTING GUARD,8.233333333333333,0.515,0.512,0.1516666666666666,4.8,8.6,6.7,7.0,1.1333333333333333,1.9,11.266666666666666,14.466666666666669,0.1333333333333333,0.3333333333333333,0.4666666666666667,0.016,-3.0666666666666664,-1.1333333333333333,-4.166666666666667,-0.4333333333333333,521,1252,205,650,130,181,191,362,233,110,103,169,333,1377
aldamsa01,POWER FORWARD,12.4,0.5273333333333333,0.4686666666666667,0.223,6.5,17.933333333333334,12.066666666666668,9.533333333333331,1.1333333333333335,2.733333333333333,9.8,17.433333333333334,0.8000000000000002,1.6,2.433333333333333,0.0813333333333333,-1.7333333333333334,-0.1,-1.8,0.5,547,1225,206,618,182,263,190,620,256,94,112,145,268,1482
alexani01,SHOOTING GUARD,10.8,0.5222857142857144,0.5514285714285714,0.172,1.842857142857143,11.828571428571427,6.885714285714286,16.257142857142856,1.6571428571428573,1.8285714285714287,12.985714285714286,19.95714285714286,-0.0428571428571428,0.8714285714285713,0.8571428571428571,0.0435714285714285,-1.9142857142857144,0.0714285714285714,-1.8428571428571427,0.1142857142857143,1294,3212,585,1681,367,506,161,810,923,284,160,495,670,3540
allengr01,SHOOTING GUARD,11.85,0.6018333333333333,0.6288333333333334,0.218,1.8666666666666665,9.783333333333331,5.883333333333333,10.166666666666666,1.1833333333333331,0.8500000000000001,10.483333333333334,17.183333333333334,2.033333333333333,1.3,3.35,0.0916666666666666,-0.5666666666666667,-0.4333333333333333,-1.0,0.7166666666666667,1197,2651,706,1714,470,543,171,851,675,239,93,324,541,3570
allenja01,CENTER,20.3375,0.667875,0.027125,0.511375,11.55,24.425,18.0625,8.525,1.0375,4.1,13.4375,16.6625,4.3,2.5875,6.8875,0.19225,1.2125,0.7625,1.975,1.7625,2758,4384,25,130,1450,2043,1599,3473,896,326,720,770,1082,6991
allenti01,SMALL FORWARD,0.8,0.272,0.304,0.087,3.4,11.8,7.4,5.4,1.6,0.0,7.7,8.9,-0.2,0.1,-0.1,-0.041,-10.3,-0.7,-11.1,-0.3,6,23,0,7,1,2,4,13,5,4,0,2,18,13
alvarjo01,POINT GUARD,13.566666666666668,0.5283333333333333,0.493,0.165,2.766666666666667,10.333333333333334,6.533333333333334,20.7,3.1666666666666665,0.9666666666666668,11.466666666666669,18.5,0.5666666666666668,1.4333333333333331,2.0,0.0946666666666666,-1.3333333333333333,1.5333333333333332,0.1999999999999999,0.5333333333333333,474,1128,193,564,136,185,78,291,455,197,32,161,287,1277
anderky01,POWER FORWARD,14.775,0.5449999999999999,0.238,0.27375,3.875,17.75,10.825,20.525,2.125,2.625,13.45,15.9,1.95,2.725,4.675,0.1255,-0.225,2.25,2.025,1.825,968,2055,184,523,408,562,247,1158,1099,310,212,351,502,2528
antetgi01,POWER FORWARD,30.042857142857144,0.625,0.16,0.5475714285714286,7.071428571428571,29.485714285714284,18.65714285714285,30.642857142857142,1.6285714285714286,3.157142857142857,13.0,34.31428571428571,7.685714285714285,4.071428571428571,11.757142857142856,0.2504285714285714,6.471428571428571,2.9285714285714284,9.4,6.471428571428571,5007,8879,403,1394,3348,4857,1019,4520,2719,545,576,1643,1445,13765
antetth01,POWER FORWARD,6.1,0.488,0.1035,0.2724999999999999,6.5,9.15,7.85,11.6,1.4500000000000002,1.7000000000000002,24.45,13.15,-0.15,0.15,0.05,0.0059999999999999,-6.6,-0.4,-7.0,-0.25,36,76,0,9,11,24,22,35,32,10,7,26,46,83
anthoco01,POINT GUARD,14.05,0.5325,0.35975,0.26975,3.025,16.325,9.625,23.95,1.275,1.475,13.375,23.65,0.5,1.75,2.225,0.06225,-0.6,-0.1999999999999999,-0.7749999999999999,0.5750000000000001,1185,2837,358,1044,657,772,181,987,1032,177,103,493,602,3385
