productid,imageid,pixels
3775275629,1243659977,[0 0 0 ... 0 0 0]
3971761681,1270628131,[0 0 0 ... 1 1 1]
435040427,1007590355,[0 0 0 ... 0 0 0]
3969082015,1270129781,[0 0 0 ... 0 0 0]
518435865,1019973492,[0 0 0 ... 0 0 0]
4057540601,1282523441,[0 0 0 ... 0 0 0]
3716121143,1236934771,[0 0 0 ... 0 0 0]
4179733783,1309707125,[0 0 0 ... 0 0 0]
3905724719,1262173200,[0 0 0 ... 0 0 0]
2501588078,1145962613,[0 0 0 ... 0 0 0]
3894911365,1260218736,[0 0 0 ... 0 0 0]
1170003660,1066647280,[0 0 0 ... 0 0 0]
2089758679,1125160540,[0 0 0 ... 0 0 0]
142946243,898071958,[0 0 0 ... 0 0 0]
4090713804,1289983292,[0 0 0 ... 0 0 0]
254948347,968772549,[2 2 2 ... 7 7 7]
388575008,1002980372,[0 0 0 ... 0 0 0]
3601984638,1226601280,[0 0 0 ... 0 0 0]
3881320015,1257420038,[0 0 0 ... 0 0 0]
4057523839,1282806778,[0 0 0 ... 0 0 0]
4223046443,1321584598,[3 3 3 ... 0 0 0]
3756676182,1241427555,[0 0 0 ... 0 0 0]
3710063653,1237042649,[0 0 0 ... 0 0 0]
3939550862,1266672644,[0 0 0 ... 0 0 0]
285962253,982219540,[0 0 0 ... 0 0 0]
3451369249,1213640708,[0 0 0 ... 0 0 0]
569623184,1026881862,[0 0 0 ... 0 0 0]
48129163,340740702,[0 0 0 ... 0 0 0]
1600314957,1094409831,[0 0 0 ... 0 0 0]
1474468919,1082953608,[0 0 0 ... 0 0 0]
1303592217,1072423329,[0 0 0 ... 0 0 0]
4153653490,1301860719,[0 0 0 ... 0 0 0]
3182722313,1196212511,[0 0 0 ... 0 0 0]
430138935,1007163370,[0 0 0 ... 0 0 0]
3960068340,1269617970,[1 1 1 ... 0 0 0]
3021545450,1185655726,[0 0 0 ... 0 0 0]
3335440512,1208042102,[0 0 0 ... 0 0 0]
268818857,973391003,[0 0 0 ... 0 0 0]
301541000,993790883,[0 0 0 ... 0 0 0]
3883202887,1257866326,[0 0 0 ... 0 0 0]
3815103538,1248487370,[0 0 0 ... 0 0 0]
540260279,1024235422,[0 0 0 ... 0 0 0]
1035122412,1053586799,[0 0 0 ... 0 0 0]
3362399183,1208739605,[0 0 0 ... 0 0 0]
4141163636,1298888224,[0 0 0 ... 0 0 0]
2867454848,1168906338,[0 0 0 ... 0 0 0]
3523602887,1219106364,[0 0 0 ... 0 0 0]
3942385957,1267329928,[0 0 0 ... 0 0 0]
4231816044,1323341914,[0 0 0 ... 0 0 0]
3962605103,1269775297,[0 0 0 ... 0 0 0]
262239875,971477511,[1 1 1 ... 0 0 0]
3887589022,1258956091,[0 0 0 ... 0 0 0]
2238357356,1132937993,[0 0 0 ... 0 0 0]
3575452885,1223360360,[0 0 0 ... 0 0 0]
150692334,906323657,[0 0 0 ... 0 0 0]
1173353240,1066930236,[0 0 0 ... 0 0 0]
3667518098,1235876582,[0 0 0 ... 0 0 0]
4006507875,1275628571,[0 0 0 ... 0 0 0]
3887626688,1259306446,[0 0 0 ... 0 0 0]
4183490566,1313554842,[1 1 1 ... 0 0 0]
50327229,453774930,[0 0 0 ... 0 0 0]
966347473,1050570386,[0 0 0 ... 0 0 0]
3233832463,1199642609,[0 0 0 ... 0 0 0]
4007155254,1275611666,[0 0 0 ... 0 0 0]
270642951,974043673,[0 0 0 ... 0 0 0]
2861077073,1168516056,[0 0 0 ... 0 0 0]
4156926865,1302863200,[0 0 0 ... 0 0 0]
4218256570,1318874143,[0 0 0 ... 0 0 0]
3396513589,1211348469,[0 0 0 ... 0 0 0]
254908649,1079728187,[0 0 0 ... 0 0 0]
118489078,1130727503,[0 0 0 ... 0 0 0]
3900386556,1261467624,[0 0 0 ... 0 0 0]
3980232462,1272510155,[0 0 0 ... 0 0 0]
278532357,1235588960,[0 0 0 ... 5 5 5]
464629851,1013192594,[0 0 0 ... 2 2 2]
820899556,1040953139,[0 0 0 ... 0 0 0]
3993167693,1273149187,[0 0 0 ... 0 0 0]
4222992004,1321406340,[0 0 0 ... 0 0 0]
748729131,1038312219,[0 0 0 ... 0 0 0]
2522645,689612279,[0 0 0 ... 0 0 0]
4120513383,1293783545,[0 0 0 ... 0 0 0]
4079551079,1287879287,[0 0 0 ... 0 0 0]
4061476681,1283474221,[0 0 0 ... 0 0 0]
3410891179,1211848232,[0 0 0 ... 0 0 0]
929822,529328,[0 0 0 ... 0 0 0]
682231166,1035231581,[0 0 0 ... 0 0 0]
227182737,958285491,[0 0 0 ... 0 0 0]
3879904620,1257314777,[0 0 0 ... 0 0 0]
1173353209,1066930491,[1 1 1 ... 0 0 0]
2772685436,1178448151,[0 0 0 ... 0 0 0]
4063221286,1284115523,[0 0 0 ... 0 0 0]
4160808122,1304022380,[0 0 0 ... 0 0 0]
4168957061,1306843006,[0 0 0 ... 0 0 0]
3166698930,1195281230,[0 0 0 ... 0 0 0]
4167077832,1306549633,[0 0 0 ... 0 0 0]
907307044,1047477840,[0 0 0 ... 0 0 0]
2173827499,1129888809,[0 0 0 ... 0 0 0]
525109888,1146384071,[0 0 0 ... 0 0 0]
4182232502,1310296496,[0 0 0 ... 0 0 0]
2958504482,1176505388,[0 0 0 ... 0 0 0]
2931242075,1194518214,[0 0 0 ... 0 0 0]
4006429100,1275462468,[0 0 0 ... 0 0 0]
3797081508,1246108323,[ 0  0  0 ... 88 88 87]
3638257878,1230459993,[0 0 0 ... 0 0 0]
4215692775,1317902619,[0 0 0 ... 0 0 0]
1849843932,1105509888,[0 0 0 ... 1 1 1]
4153656216,1301862189,[0 0 0 ... 0 0 0]
190099415,933242593,[0 0 0 ... 0 0 0]
249773417,993393087,[0 0 0 ... 0 0 0]
3906573252,1262283305,[0 0 0 ... 0 0 0]
3582305271,1223585665,[0 0 0 ... 0 0 0]
2987945342,1178591875,[0 0 0 ... 0 0 0]
4026260145,1277808036,[0 0 0 ... 0 0 0]
249154511,965014344,[0 0 0 ... 0 0 0]
1497466605,1084613761,[0 0 0 ... 0 0 0]
85756785,854228871,[0 0 0 ... 0 0 0]
296204680,989033115,[0 0 0 ... 0 0 0]
2742147168,1161993144,[0 0 0 ... 0 0 0]
3707989338,1308843194,[0 0 0 ... 0 0 0]
1631062519,1094979203,[0 0 0 ... 0 0 0]
1869201415,1107660144,[0 0 0 ... 0 0 0]
3352166352,1208158248,[0 0 0 ... 0 0 0]
2089862262,1125492307,[0 0 0 ... 0 0 0]
4171236249,1307375010,[0 0 0 ... 0 0 0]
237022014,961234534,[0 0 0 ... 0 0 0]
3548954122,1220566907,[0 0 0 ... 0 0 0]
4187115068,1311389292,[0 0 0 ... 0 0 0]
3938880731,1266603161,[0 0 0 ... 0 0 0]
3036490966,1187036441,[0 0 0 ... 0 0 0]
730066701,1037435968,[0 0 0 ... 0 0 0]
567639486,1061567471,[0 0 0 ... 0 0 0]
1192554120,1239483624,[0 0 0 ... 0 0 0]
1926714940,1113061652,[0 0 0 ... 0 0 0]
1659787591,1266656431,[0 0 0 ... 0 0 0]
4057772615,1283011246,[0 0 0 ... 0 0 0]
4108948024,1292551062,[0 0 0 ... 0 0 0]
4232367920,1324030837,[0 0 0 ... 0 0 0]
1576254882,1092234113,[0 0 0 ... 0 0 0]
2984787238,1178350290,[0 0 0 ... 0 0 0]
4012869320,1276359833,[0 0 0 ... 0 0 0]
4171238283,1307400495,[7 6 4 ... 0 0 0]
1558490402,1292353402,[0 0 0 ... 0 0 0]
2940639885,1174591191,[0 0 0 ... 0 0 0]
158520324,914023427,[0 0 0 ... 0 0 0]
140321622,893454061,[0 0 0 ... 0 0 0]
388578672,1002978249,[0 0 0 ... 0 0 0]
3123026476,1192184522,[0 0 0 ... 0 0 0]
4196505217,1312859965,[0 0 0 ... 0 0 0]
3982166209,1271831313,[0 0 0 ... 0 0 0]
3898707159,1261171346,[0 0 0 ... 0 0 0]
4057548059,1282565941,[0 0 0 ... 0 0 0]
4250700228,1328684005,[0 0 0 ... 0 0 0]
126463479,882043140,[0 0 0 ... 0 0 0]
294489674,987678369,[0 0 0 ... 0 0 0]
3614026549,1227972830,[0 0 0 ... 0 0 0]
2940639059,1174588149,[0 0 0 ... 0 0 0]
3855161584,1253151154,[0 0 0 ... 0 0 0]
4003958413,1275307609,[0 0 0 ... 0 0 0]
3896820842,1261068308,[0 0 0 ... 0 0 0]
294315417,987486922,[0 0 0 ... 0 0 0]
303051694,995098620,[0 0 0 ... 0 0 0]
229202849,958733523,[0 0 0 ... 0 0 0]
2807581249,1262354324,[0 0 0 ... 0 0 0]
3995335813,1273841701,[0 0 0 ... 0 0 0]
2525786767,1146886375,[0 0 0 ... 0 0 0]
4179940017,1309566671,[0 0 0 ... 0 0 0]
3930103498,1265375939,[0 0 0 ... 0 0 0]
303883974,995611091,[ 12  12  12 ... 235 232   1]
1286146316,1117632666,[0 0 0 ... 0 0 0]
4057547931,1282565019,[0 0 0 ... 0 0 0]
3408563,150427230,[0 0 0 ... 0 0 0]
3896891049,1261086475,[0 0 0 ... 0 0 0]
3775262793,1243742248,[0 0 0 ... 0 0 0]
2831987114,1167234941,[0 0 0 ... 0 0 0]
558487147,1055538727,[0 0 0 ... 0 0 0]
4166642716,1305762065,[0 0 0 ... 0 0 0]
3962599786,1269770185,[0 0 0 ... 0 0 0]
4077167088,1287200091,[0 0 0 ... 0 0 0]
4172394124,1307623701,[0 0 0 ... 0 0 0]
205320310,940888486,[0 0 0 ... 0 0 0]
3992546253,1273050284,[0 0 0 ... 0 0 0]
4047004056,1281735220,[0 0 0 ... 0 0 0]
4079557001,1288121062,[0 0 0 ... 0 0 0]
148597056,903982002,[0 0 0 ... 0 0 0]
2851675266,1168080626,[0 0 0 ... 0 0 0]
516409253,1019342860,[0 0 0 ... 0 0 0]
435124089,1007661267,[0 0 0 ... 0 0 0]
3935633627,1265914424,[0 0 0 ... 0 0 0]
4165985080,1305526688,[0 0 0 ... 0 0 0]
444007409,1010143582,[0 0 0 ... 0 0 0]
4188731306,1311611129,[0 0 0 ... 0 0 0]
289753317,1066672242,[0 0 0 ... 0 0 0]
3689301842,1234731116,[0 0 0 ... 0 0 0]
2906423180,1171294459,[0 0 0 ... 0 0 0]
3819983721,1249535831,[0 0 0 ... 0 0 0]
3900594527,1261706544,[0 0 0 ... 0 0 0]
4167127475,1306069150,[0 0 0 ... 0 0 0]
794404435,1039330548,[0 0 0 ... 0 0 0]
1936969464,1072915428,[0 0 0 ... 0 0 0]
184772999,1038556167,[0 0 0 ... 0 0 0]
